idcategory,categdesc
030710,Swallows
030711,Doves; pigeons; turtle-doves
030712,Jackdaws; crows; rooks; magpies
030713,Sparrows or other passerine birds; thrush
030714,Ostriches; emus
030715,Parrots; budgerigars; toucans; canary
030716,Birds in flight or with outspread wings
030717,Wings; stylized or not
030718,Kiwis (apteryx)
030719,Parts of birds; feathers; footprints; skeletons of birds
030720,Nests; bird cages
030721,Other birds; woodpeckers
030722,Hummingbirds
030723,Bats
030724,Birds stylized
030725,Birds in costume
030726,Groups of birds or bats
030798,Stylized birds formed by curved lines
030799,Birds heads
0309,AQUATIC ANIMALS; SCORPIONS
030901,Fish; animals of fish-like form
030902,Squali (sharks)
030903,Cetaceans (sperm whales; whales; orcs; grampus; killer whales)
030904,Dolphins
030905,Swordfish; narwhal; sawfish
030906,Ornamental fish; goldfish
030907,Flat fish (sunfish; rays; dabs)
030908,Snake-like (eels or others)
030910,Other fish
030911,Fish in their element or represented as such
030912,Groups of fish; or of animals of fish-like form; of different kinds
030913,Heads of fish; parts of fish; fish bones; shark jaws and shark teeth
030914,Sea horses
030915,Inkfish; octopuses
030916,Crustaceans (crabs; shrimps; crayfish; lobsters); scorpions
030917,Starfish
030918,Shellfish (oysters; mussels; conches; other shellfish)
030919,Coral; coral reef
030920,Jellyfish
030921,Groups of aquatic animals of division 3.9; of different kinds (except 3.9.1)
030922,Aquariums; terrariums or vivariums containing animals of division 3.9
030923,Other aquatic animals
030924,Animals of division 3.9 stylized
030925,Animals of division 3.9 in costume
0311,REPTILES; AMPHIBIA; SNAILS; SEALS; SELIONS
031101,Serpents
031102,Serpent and cup (symbol of pharmacie)
031103,Serpent(s) and staff  (symbol of medicine)
031106,Worms
031107,Snails; slugs
031109,Alligators; caymans; crocodiles
031110,Chameleons; lizards; salamanders
031111,Tortoises
031112,Toads; frogs; tadpoles
031117,Seals; sea lions
031121,Groups of animals of division 3.11; of different kinds
031122,Terrariums or vivariums containing animals of division 3.11
031123,Other animals belonging to division 3.11
031124,Animals of division 3.11 stylized
031125,Animals of division 3.11 in costume
0313,INSECTS; SPIDERS; MICRO-ORGANISMS
031301,Butterflies
031302,Insects (except 3.13.1); spiders
031304,Bees; wasps
031305,Beehives; cells of honeycombs
031306,Dragonflies
031307,Flies; mosquitoes
031308,Spiders; spider webs
031309,Ladybirds
031310,Beetles
031311,Cockroaches
031312,Cicadas; crickets; locusts; grasshoppers
031316,Ants
031317,Lice and aphides
031318,Caterpillars; silkworms
031319,Cocoons of silkworms; chrysalises
031320,Micro-organisms
031321,Groups of insects; spiders or micro-organisms; of different kinds
031323,Other insects
031324,Insects or spiders stylized
031325,Insects or spiders in costume
0315,OTHER ANIMALS; LARGE PREHISTORIC ANIMALS; DINOSAURS
0317,GROUPS OF ANIMALS CLASSIFIED IN DIFFERENT DIVISIONS OF CATEGORY 3
04,SUPERNATURAL; FABULOUS; FANTASTIC OR UNIDENTIFIABLE BEINGS
0401,WINGED OR HORNED PERSONAGES
040101,Winged human heads
040102,Winged children (cherubs; cupids)
040103,Other winged personages; fairies (except 4.1.4)
040104,Devils or other horned personages; with or without wings
040105,Heads of devils or horned personages
040125,Groups of winged or horned personages classified in different sections of divisi
0402,BEINGS PARTLY HUMAN AND PARTLY ANIMAL
040201,Centaurs (head; arms and body of a man & body; legs of a horse)
040202,Centaurs with bow; arrow(s) or lance
040205,Sphinx
040208,Tritons (fish/man)
040211,Sirens; naiads
040220,Other beings partly Human and partly animal
040225,Groups of beings classified in different sections of division 4.2
0403,FABULOUS ANIMALS
040301,Winged lions; griffons (winged monster with the body of a lion and the head of a
040303,Dragons
040305,Winged horses (Pegasus)
040307,Other winged quadrupeds
040309,Unicorns
040310,Monsters with several heads
040311,Yetis
040319,Heads of fabulous animals
040320,Phoenixes; other fabulous animals (imaginary bird)
040325,Groups of fabulous animals classified in different sections of division 4.3
040399,Other fabulous animals
0405,PLANTS; OBJECTS OR GEOMETRICAL FIGURES REPRESENTING PERSONAGE OR AN ANIMAL; MASK
040501,Personified plants; combinations of plants representing a personage
040502,Personified objects; combinations of objects representing a personage
040503,Personified geometrical figures or solids; combinations of geometrical figures o
040504,Robots of human appearance
040505,Other unidentifiable personifications; other fantastic beings of human appearanc
040511,Plants or combinations of plants representing an animal
040512,Objects or combinations of objects representing an animal
040513,Geometrical figures or solids or combinations of geometrical figures or solids r
040514,Robots having the appearance of animals
040515,Other forms representing an unidentifiable animal; other fantastic beings having
040521,Masks or fanciful or unidentifiable heads
